name	type	page_url	page_id	twitter_handle	dubbel_check
VVD	Partij	https://www.facebook.com/VVD/	121264564551002	VVD	x
Mark Rutte	Lijsttrekker	https://www.facebook.com/markrutte/	34646635859	markrutte	x
PVV	Partij	https://www.facebook.com/geertwilders/	202064936858448	geertwilderspvv	x
Geert Wilders	Lijsttrekker	https://www.facebook.com/geertwilders/	202064936858448	geertwilderspvv	x
CDA	Partij	https://www.facebook.com/kiesCDA/	320374518118	cdavandaag	x
Wopke Hoekstra	Lijsttrekker	https://www.facebook.com/WopkeHoekstraCDA/	2018408465106868	WBHoekstra	x
D66	Partij	https://www.facebook.com/D66/	52985377549	D66	x
Sigrid Kaag	Lijsttrekker	https://www.facebook.com/Sigrid-Kaag-106085081224870	106085081224870	SigridKaag	x
GroenLinks	Partij	https://www.facebook.com/groenlinks/	175740570505	Groenlinks	x
Jesse Klaver	Lijsttrekker	https://www.facebook.com/jesseklaver	687496011309020	Jesseklaver	x
SP	Partij	https://www.facebook.com/SocialistischePartij	128393027527	SPnl	x
Lilian Marijnissen	Lijsttrekker	https://www.facebook.com/LilianMarijnissenSP	844559615710915	MarijnissenL	x
PvdA	Partij	https://www.facebook.com/PartijvandeArbeid	113895885305052	PvdA	x
Lilianne Ploumen	Lijsttrekker	https://www.facebook.com/lilianne.ploumen	509195185792644	ploumenlilianne	x
ChristenUnie	Partij	https://www.facebook.com/ChristenUnie	211661062254003	christenunie	x
Gert-Jan Segers	Lijsttrekker	https://www.facebook.com/gertjansegersCU/	147772805659767	gertjansegers	x
Partij voor de Dieren	Partij	https://www.facebook.com/PartijvoordeDieren	102287806490622	partijvddieren	x
Esther Ouwehand	Lijsttrekker	https://www.facebook.com/EstherOuwehand.PvdD	100002336027055	estherouwehand	x
50PLUS	Partij	https://www.facebook.com/50PLUSpartij-347623668624706	347623668624706	50pluspartij	x
Liane den Haan	Lijsttrekker	https://www.facebook.com/profile.php?id=100008826108283	100008826108283	LianedenHaan	x
SGP	Partij	https://www.facebook.com/SGPnieuws	433611050005553	SGPnieuws	x
Kees van der Staaij	Lijsttrekker	https://www.facebook.com/keesvanderstaaij	135227606660572	keesvdstaaij	x
DENK	Partij	https://www.facebook.com/DenkNL	1550088745275913	DenkNL	x
Farid Azarkan	Lijsttrekker	https://www.facebook.com/faridazarkannl/	803888893081732	F_Azarkan	
Forum voor Democratie	Partij	https://www.facebook.com/forumvoordemocratie	609816282477420	fvdemocratie	x
Thierry Baudet	Lijsttrekker	https://www.facebook.com/thierrybaudet83	379837259062033	thierrybaudet	x
BIJ1	Partij	https://www.facebook.com/www.bij1.org	717249231795539	PolitiekBIJ1	x
Sylvana Simons	Lijsttrekker	https://www.facebook.com/SylvanaSimonsBIJ1	100044515776073	sylvanabij1	
JA21	Partij	https://www.facebook.com/ja21.nl	106020448037192	juisteantwoord	x
Joost Eerdmans	Lijsttrekker	https://www.facebook.com/Joost-Eerdmans-102875308418431	102875308418431	eerdmans	
Code Oranje	Partij	https://www.facebook.com/hetiscodeoranje	2282333235129671	code__oranje	x
Richard de Mos	Lijsttrekker	https://www.facebook.com/richarddemosDH	355078465348642	RicharddeMos	x
Volt	Partij	https://www.facebook.com/VoltNederland/	146644665960101	VoltNederland	x
Laurens Dassen	Lijsttrekker	https://www.facebook.com/LaurensDassen.Volt	112506783853299	DassenLaurens	
